Date,Open,High,Low,Close,Adj Close,Volume,Return
2005-04-08,1003.450012,1003.450012,1003.450012,1003.450012,1003.450012,0,
2005-04-11,995.421021,995.421021,995.421021,995.421021,995.421021,0,-0.008001386
2005-04-12,978.697021,978.697021,978.697021,978.697021,978.697021,0,-0.016800931
2005-04-13,1000.900024,1000.900024,1000.900024,1000.900024,1000.900024,0,0.022686289
2005-04-14,986.974976,986.974976,986.974976,986.974976,986.974976,0,-0.013912526
2005-04-15,974.08197,974.08197,974.08197,974.08197,974.08197,0,-0.013063154
2005-04-18,963.771973,963.771973,963.771973,963.771973,963.771973,0,-0.010584322
2005-04-19,965.885986,965.885986,965.885986,965.885986,965.885986,0,0.002193478
2005-04-20,950.867004,950.867004,950.867004,950.867004,950.867004,0,-0.015549436
2005-04-21,943.981018,943.981018,943.981018,943.981018,943.981018,0,-0.007241797
2005-04-22,939.101013,939.101013,939.101013,939.101013,939.101013,0,-0.005169601
2005-04-25,930.070007,930.070007,930.070007,930.070007,930.070007,0,-0.00961665
2005-04-26,937.083008,937.083008,937.083008,937.083008,937.083008,0,0.007540294
2005-04-27,926.604004,926.604004,926.604004,926.604004,926.604004,0,-0.011182578
2005-04-28,942.072998,942.072998,942.072998,942.072998,942.072998,0,0.016694288
2005-04-29,932.39502,932.39502,932.39502,932.39502,932.39502,0,-0.010273066
2005-05-02,,,,,,,
2005-05-03,,,,,,,
2005-05-04,,,,,,,
2005-05-05,,,,,,,
2005-05-06,,,,,,,
2005-05-09,909.174011,909.174011,909.174011,909.174011,909.174011,0,
2005-05-10,913.075989,913.075989,913.075989,913.075989,913.075989,0,0.004291783
2005-05-11,901.851013,901.851013,901.851013,901.851013,901.851013,0,-0.012293584
2005-05-12,885.820007,885.820007,885.820007,885.820007,885.820007,0,-0.01777567
2005-05-13,887.54303,887.54303,887.54303,887.54303,887.54303,0,0.001945116
2005-05-16,875.270996,875.270996,875.270996,875.270996,875.270996,0,-0.013826974
2005-05-17,881.461975,881.461975,881.461975,881.461975,881.461975,0,0.007073214
2005-05-18,883.195984,883.195984,883.195984,883.195984,883.195984,0,0.001967197
2005-05-19,884.171021,884.171021,884.171021,884.171021,884.171021,0,0.001103987
2005-05-20,882.763,882.763,882.763,882.763,882.763,0,-0.001592476
2005-05-23,863.341003,863.341003,863.341003,863.341003,863.341003,0,-0.022001372
2005-05-24,868.455994,868.455994,868.455994,868.455994,868.455994,0,0.005924647
2005-05-25,868.450989,868.450989,868.450989,868.450989,868.450989,0,-5.7631E-06
2005-05-26,857.330994,857.330994,857.330994,857.330994,857.330994,0,-0.012804401
2005-05-27,849.507996,849.507996,849.507996,849.507996,849.507996,0,-0.009124828
2005-05-30,855.612,855.612,855.612,855.612,855.612,0,0.00718534
2005-05-31,855.945984,855.945984,855.945984,855.945984,855.945984,0,0.000390345
2005-06-01,837.531982,837.531982,837.531982,837.531982,837.531982,0,-0.021513042
2005-06-02,818.379028,818.379028,818.379028,818.379028,818.379028,0,-0.022868326
2005-06-03,818.03302,818.03302,818.03302,818.03302,818.03302,0,-0.000422797
2005-06-06,838.997009,838.997009,838.997009,838.997009,838.997009,0,0.025627314
2005-06-07,837.281982,837.281982,837.281982,837.281982,837.281982,0,-0.00204414
2005-06-08,905.77301,905.77301,905.77301,905.77301,905.77301,0,0.081801627
2005-06-09,912.604004,912.604004,912.604004,912.604004,912.604004,0,0.007541618
2005-06-10,894.55603,894.55603,894.55603,894.55603,894.55603,0,-0.019776348
2005-06-13,892.958984,892.958984,892.958984,892.958984,892.958984,0,-0.001785295
2005-06-14,883.536987,883.536987,883.536987,883.536987,883.536987,0,-0.010551433
2005-06-15,866.833984,866.833984,866.833984,866.833984,866.833984,0,-0.018904701
2005-06-16,879.237,879.237,879.237,879.237,879.237,0,0.01430841
2005-06-17,880.344971,880.344971,880.344971,880.344971,880.344971,0,0.001260151
2005-06-20,906.255005,906.255005,906.255005,906.255005,906.255005,0,0.029431683
2005-06-21,896.166016,896.166016,896.166016,896.166016,896.166016,0,-0.011132616
2005-06-22,900.645996,900.645996,900.645996,900.645996,900.645996,0,0.004999051
2005-06-23,893.572021,893.572021,893.572021,893.572021,893.572021,0,-0.007854335
2005-06-24,898.301025,898.301025,898.301025,898.301025,898.301025,0,0.005292247
2005-06-27,916.04303,916.04303,916.04303,916.04303,916.04303,0,0.019750623
2005-06-28,903.716003,903.716003,903.716003,903.716003,903.716003,0,-0.013456821
2005-06-29,898.89801,898.89801,898.89801,898.89801,898.89801,0,-0.005331313
2005-06-30,878.685974,878.685974,878.685974,878.685974,878.685974,0,-0.02248535
2005-07-01,859.494019,859.494019,859.494019,859.494019,859.494019,0,-0.021841654
2005-07-04,855.932007,855.932007,855.932007,855.932007,855.932007,0,-0.004144313
2005-07-05,849.679016,849.679016,849.679016,849.679016,849.679016,0,-0.007305476
2005-07-06,842.55603,842.55603,842.55603,842.55603,842.55603,0,-0.008383149
2005-07-07,844.729004,844.729004,844.729004,844.729004,844.729004,0,0.002579026
2005-07-08,829.489014,829.489014,829.489014,829.489014,829.489014,0,-0.018041277
2005-07-11,824.096985,824.096985,824.096985,824.096985,824.096985,0,-0.006500422
2005-07-12,851.815979,851.815979,851.815979,851.815979,851.815979,0,0.033635597
2005-07-13,846.231018,846.231018,846.231018,846.231018,846.231018,0,-0.006556535
2005-07-14,849.590027,849.590027,849.590027,849.590027,849.590027,0,0.003969376
2005-07-15,841.000977,841.000977,841.000977,841.000977,841.000977,0,-0.010109641
2005-07-18,832.994995,832.994995,832.994995,832.994995,832.994995,0,-0.009519587
2005-07-19,835.607971,835.607971,835.607971,835.607971,835.607971,0,0.003136845
2005-07-20,842.640991,842.640991,842.640991,842.640991,842.640991,0,0.00841665
2005-07-21,843.987,843.987,843.987,843.987,843.987,0,0.001597369
2005-07-22,859.692993,859.692993,859.692993,859.692993,859.692993,0,0.018609283
2005-07-25,856.859985,856.859985,856.859985,856.859985,856.859985,0,-0.003295372
2005-07-26,876.47998,876.47998,876.47998,876.47998,876.47998,0,0.022897551
2005-07-27,894.012024,894.012024,894.012024,894.012024,894.012024,0,0.020002789
2005-07-28,890.88501,890.88501,890.88501,890.88501,890.88501,0,-0.003497731
2005-07-29,888.164001,888.164001,888.164001,888.164001,888.164001,0,-0.003054276
2005-08-01,891.606995,891.606995,891.606995,891.606995,891.606995,0,0.00387653
2005-08-02,903.598022,903.598022,903.598022,903.598022,903.598022,0,0.013448781
2005-08-03,909.570007,909.570007,909.570007,909.570007,909.570007,0,0.006609117
2005-08-04,904.150024,904.150024,904.150024,904.150024,904.150024,0,-0.005958841
2005-08-05,923.802979,923.802979,923.802979,923.802979,923.802979,0,0.021736387
2005-08-08,927.471008,927.471008,927.471008,927.471008,927.471008,0,0.003970575
2005-08-09,933.088989,933.088989,933.088989,933.088989,933.088989,0,0.006057312
2005-08-10,940.369995,940.369995,940.369995,940.369995,940.369995,0,0.007803121
2005-08-11,953.992004,953.992004,953.992004,953.992004,953.992004,0,0.014485797
2005-08-12,938.315979,938.315979,938.315979,938.315979,938.315979,0,-0.01643203
2005-08-15,954.502014,954.502014,954.502014,954.502014,954.502014,0,0.01725009
2005-08-16,945.057983,945.057983,945.057983,945.057983,945.057983,0,-0.009894197
2005-08-17,953.012024,953.012024,953.012024,953.012024,953.012024,0,0.008416458
2005-08-18,920.671021,920.671021,920.671021,920.671021,920.671021,0,-0.033935567
2005-08-19,923.038025,923.038025,923.038025,923.038025,923.038025,0,0.002570955
2005-08-22,931.672974,931.672974,931.672974,931.672974,931.672974,0,0.009354922
2005-08-23,923.414001,923.414001,923.414001,923.414001,923.414001,0,-0.00886467
2005-08-24,930.651001,930.651001,930.651001,930.651001,930.651001,0,0.007837221
2005-08-25,930.117981,930.117981,930.117981,930.117981,930.117981,0,-0.000572739
2005-08-26,928.257996,928.257996,928.257996,928.257996,928.257996,0,-0.00199973
2005-08-29,917.370972,917.370972,917.370972,917.370972,917.370972,0,-0.011728446
2005-08-30,914.880005,914.880005,914.880005,914.880005,914.880005,0,-0.002715332
2005-08-31,927.916016,927.916016,927.916016,927.916016,927.916016,0,0.014248875
