date,relation_index,uncertainty_index,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5
2005-12,10.9272071037219,173.93024672707782,中国,美国,经济,发展,国家
2006-01,4.744888228422466,150.42011029267331,中国,美国,发展,国家,国际
2006-02,6.7338134730402075,761.6027326288406,美国,中国,技术,发展,国家
2006-03,3.5772823903303097,439.71042504092367,中国,美国,发展,问题,国家
2006-04,5.669720111791795,246.66463125724118,中国,美国,发展,国家,说
2006-05,4.063723252133107,96.25914741163166,美国,中国,问题,说,国家
2006-06,6.919851137727865,178.48552516484352,美国,中国,发展,问题,企业
2006-07,6.415712789877487,92.76519850312306,美国,中国,发展,说,问题
2006-08,5.771141958056687,301.7153433226044,美国,中国,发展,说,国际
2006-09,6.050375718785932,375.1023838261797,中国,美国,发展,国家,问题
2006-10,6.4717169769330205,203.9108791885796,中国,发展,美国,长征,国家
2006-11,6.406941965599276,124.9747184785308,中国,美国,发展,经济,国际
2006-12,6.637533082943765,402.9810006331302,中国,美国,发展,经济,国家
2007-01,5.304903489895836,186.90478870210552,美国,中国,发展,说,问题
2007-02,5.499163280033321,156.88019027967366,美国,中国,问题,国家,说
2007-03,6.830089983164378,426.6314320086686,美国,中国,问题,发展,国家
2007-04,5.248009481342963,84.61929897434692,中国,美国,发展,说,问题
2007-05,7.355544348608975,142.98713249663342,美国,中国,发展,说,国家
2007-06,7.366233766884304,146.89219796137797,中国,美国,香港,问题,发展
2007-07,4.881910661335977,184.45368117509415,美国,中国,发展,说,问题
2007-08,5.256207055913869,212.70474109513938,美国,中国,问题,食品,说
2007-09,7.281677929024143,150.02076698653838,中国,美国,发展,经济,说
2007-10,7.821968375941078,458.639665594138,中国,发展,美国,工作,国家
2007-11,5.3255015060408635,279.97015037609845,中国,美国,发展,国家,经济
2007-12,5.637115526989543,284.58014343351397,中国,美国,发展,经济,国家
2008-01,5.1341240346939525,190.46709350494092,美国,中国,经济,国家,发展
2008-02,7.57342786230942,357.91814845287405,美国,中国,发展,国家,问题
2008-03,2.0255907769634707,1184.9395445430894,中国,发展,美国,经济,问题
2008-04,5.404719515174056,166.77377387033917,中国,美国,发展,经济,说
2008-05,6.458063035968009,124.34230499002169,中国,灾区,地震,美国,说
2008-06,6.248305893584495,258.84817465263734,中国,美国,发展,经济,国际
2008-07,6.845257368642674,253.9519720182016,中国,奥运会,北京,美国,发展
2008-08,5.752550760256206,125.19825003263814,奥运会,中国,北京,美国,奥运
2008-09,6.859937554350573,237.9749199273272,中国,美国,发展,经济,说
2008-10,8.03324002954582,298.13790340259067,中国,经济,发展,美国,国家
